kejauan,kejauhan
kejayan,kejayaan
kejepit,terjepit
kejual,terjual
kejuaran,kejuaraan
kek,seperti
kekalemanya,kekalemannya
kekamar,ke kamar
kekampus,ke kampus
kekandang,ke kandang
kekasur,ke kasur
kekecewan,kekecewaan
kekemayoran,ke kemayoran
kekmana,bagaimana
keknya,kayaknya
kekontrakan,ke kontrakan
kekos,ke kos
kekosanku,ke kosanku
kekota,ke kota
kekuasan,kekuasaan
kekumpul,terkumpul
kekunci,terkunci
kekuranganya,kekurangannya
kekuras,terkuras
kelakon,terlaksana
kelaperan,kelaparan
kelaut,ke laut
keleta,kereta
keliatan,kelihatan
keliatannya,kelihatannya
keliatanya,kelihatannya
kelihatanya,kelihatannya
kelindas,terlindas
kelindes,terlindas
kelja,kerja
kelokasi,ke lokasi
keluarin,keluarkan
kemana2,kemana-mana
kemarahanya,kemarahannya
kembaranya,kembarannya
kembgnkan,kembangkan
kemendiknas,Kementerian Pendidikan Nasional
kemenkes,Kementerian Kesehatan
kemenkeu,Kementerian Keuangan
kemenkominfo,Kementerian Komunikasi dan Informatika
kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
kemenong,kemana
kemenpera,Kementerian Perumahan Rakyat
kemenperin,Kementerian Perindustrian
kementrian,Kementerian
kemerdekan,kemerdekaan
kemis,kamis
kemonas,ke monas
kemrin,kemarin
kemulyaan,kemuliaan
kemulyan,kemuliaan
kemusium,ke museum
kenalin,kenalkan
kenang2an,kenang-kenangan
kenang2ngan,kenang-kenangan
kenanganya,kenangannya
kenapah,kenapa
kenapasi,kenapa ya
kenape,kenapa
kenceng,cepat
kendaran,kendaraan
kendaranya,kendaraannya
kenderaan,kendaraan
keno,kena
kenp,kenapa
kenpa,kenapa
kenyatan,kenyataan
kenyatanya,kenyataannya
kepake,terpakai
kepalanye,kepalanya
kepangang,terpanggang
kepanggang,terpanggang
kepantai,ke pantai
kepantainya,ke pantainya
keparis,ke paris
kepasar,ke pasar
kepastianya,kepastiannya
kepencar,terpencar
kepencet,terpencet
kepengen,ingin
kepengenya,keinginannya
kepengin,ingin
kepercayan,kepercayaan
kepercayanya,kepercayaannya
kepilih,terpilih
kepincut,terpincut
kepinteran,kepintaran
keponakanya,keponakannya
kepotong,terpotong
keprcayaan,kepercayaan
keprcayan,kepercayaan
kepribadianya,kepribadiannya
kepsek,kepala sekolah
kepulau,ke pulau
kepuncak,ke puncak
keputar,terputar
keputusanya,keputusannya
keragunan,ke ragunan
kerajan,kerajaan
keras2,keras-keras
kerasa,terasa
kerdus,kardus
kere,miskin
kering2,kering-kering
keringet,keringat
kerj,kerja
kerjain,kerjakan
kerjan,pekerjaan
kerumah,ke rumah
kesabaranya,kesabarannya
kesalahane,kesalahannya
kesalon,ke salon
kesampean,kesampaian
kesampeng,ke samping
kesane,kesannya
kesangkut,tersangkut
kesanya,kesannya
kesasar,tersasar
kesawah,ke sawah
kesayanganya,kesayangannya
kesederhanan,kesederhanaan
kesedian,kesediaan
kesedianya,kesediaannya
kesekolah,ke sekolah
keselip,terselip
kesetian,kesetiaan
kesetianmu,kesetiaanmu
kesetianya,kesetiaannya
kesian,kasihan
kesklh,ke sekolah
kesmpean,kesampaian
kesna,kesana
kesni,kesini
kesno,kesana
kesodara,ke saudara
kesokalh,ke sekolah
kesono,kesana
kesukan,kesukaan
ket,keterangan
ketabrak,tertabrak
ketagih,tertagih
ketarik,tertarik
ketawa,tertawa
ketawa2,ketawa-tawa
ketentuanya,ketentuannya
keterpurulanya,keterpurukannya
ketiban,tertimpa
ketidaknyamananya,ketidaknyamanannya
ketidung,ke tidung
ketike,ketika
ketimpa,tertimpa
ketingalan,ketinggalan
ketok,terlihat
ketoke,sepertinya
ketrangan,keterangan
ketrngan,keterangan
ketuan,ketuaan
ketuker,ketukar
ketutup,tertutup
